YearMonth,Arrivals
2001M01,9351
2001M02,9387
2001M03,7113
2001M04,6993
2001M05,6258
2001M06,7347
2001M07,9432
2001M08,8325
2001M09,9864
2001M10,9870
2001M11,10830
2001M12,11607
2002M01,13125
2002M02,11109
2002M03,10158
2002M04,8925
2002M05,7971
2002M06,9114
2002M07,10701
2002M08,10095
2002M09,10836
2002M10,10461
2002M11,11370
2002M12,12177
2003M01,13308
2003M02,11232
2003M03,9354
2003M04,7986
2003M05,7089
2003M06,7767
2003M07,9411
2003M08,8271
2003M09,8820
2003M10,8694
2003M11,9066
2003M12,10956
2004M01,10776
2004M02,9123
2004M03,6789
2004M04,6174
2004M05,6078
2004M06,6498
2004M07,7959
2004M08,6957
2004M09,7938
2004M10,7554
2004M11,8184
2004M12,10608
2005M01,10068
2005M02,8646
2005M03,6852
2005M04,6900
2005M05,6372
2005M06,6735
2005M07,7680
2005M08,7473
2005M09,8289
2005M10,8061
2005M11,8193
2005M12,10986
2006M01,10134
2006M02,9414
2006M03,7548
2006M04,6960
2006M05,6357
2006M06,7284
2006M07,8775
2006M08,8148
2006M09,9210
2006M10,8760
2006M11,9630
2006M12,11550
2007M01,10896
2007M02,10098
2007M03,8448
2007M04,7311
2007M05,6804
2007M06,7740
2007M07,8511
2007M08,8964
2007M09,9318
2007M10,8715
2007M11,9642
2007M12,11199
2008M01,10557
2008M02,11454
2008M03,8595
2008M04,7920
2008M05,8082
2008M06,8358
2008M07,9867
2008M08,9339
2008M09,9261
2008M10,9315
2008M11,9528
2008M12,11343
2009M01,10941
2009M02,10938
2009M03,8082
2009M04,6975
2009M05,6813
2009M06,7002
2009M07,8877
2009M08,7839
2009M09,8310
2009M10,7974
2009M11,8163
2009M12,10032
2010M01,9618
2010M02,9207
2010M03,7095
2010M04,6195
2010M05,5907
2010M06,6348
2010M07,8430
2010M08,7881
2010M09,8148
2010M10,8103
2010M11,7860
2010M12,9708
2011M01,9279
2011M02,9570
2011M03,7236
2011M04,6363
2011M05,6006
2011M06,6243
2011M07,8604
2011M08,7857
2011M09,7785
2011M10,7431
2011M11,8064
2011M12,9270
2012M01,8985
2012M02,9930
2012M03,7989
2012M04,5730
2012M05,6012
2012M06,6837
2012M07,7887
2012M08,7707
2012M09,8112
2012M10,8022
2012M11,8409
2012M12,9831
2013M01,9396
2013M02,9414
2013M03,7986
2013M04,6807
2013M05,6684
2013M06,7089
2013M07,9051
2013M08,8316
2013M09,9246
2013M10,9369
2013M11,9378
2013M12,11166
2014M01,10722
2014M02,11481
2014M03,9312
2014M04,7788
2014M05,7761
