YearMonth,Departures
2014M06,6883
2014M07,6996
2014M08,6398
2014M09,6015
2014M10,5547
2014M11,6839
2014M12,9150
2015M01,7043
2015M02,6413
2015M03,7197
2015M04,6689
2015M05,6948
2015M06,6944
2015M07,7247
2015M08,6355
2015M09,5919
2015M10,5863
2015M11,6741
2015M12,9468
2016M01,6835
2016M02,6203
2016M03,6847
2016M04,6933
2016M05,6903
2016M06,6683
2016M07,7370
2016M08,6241
2016M09,6053
2016M10,5699
2016M11,7133
2016M12,9803
2017M01,7502
2017M02,6750
2017M03,6810
2017M04,7092
2017M05,7602
2017M06,7425
2017M07,8079
2017M08,7052
2017M09,6857
2017M10,6442
2017M11,7508
2017M12,10537
2018M01,7672
2018M02,6855
2018M03,7885
2018M04,7300
2018M05,7805
2018M06,7736
2018M07,8137
2018M08,7255
2018M09,6794
2018M10,6765
2018M11,7514
2018M12,10608
2019M01,7706
2019M02,6061
