YearMonth,TotDepartures
2001M01,326549
2001M02,271105
2001M03,306983
2001M04,295370
2001M05,246359
2001M06,243564
2001M07,260486
2001M08,269931
2001M09,259422
2001M10,240720
2001M11,250581
2001M12,289293
2002M01,319184
2002M02,272623
2002M03,321625
2002M04,287014
2002M05,248564
2002M06,248826
2002M07,262761
2002M08,272942
2002M09,256221
2002M10,270894
2002M11,298255
2002M12,317301
2003M01,342068
2003M02,281860
2003M03,330834
2003M04,284581
2003M05,237857
2003M06,229804
2003M07,283749
2003M08,281054
2003M09,283115
2003M10,287133
2003M11,327867
2003M12,365034
2004M01,390988
2004M02,327256
2004M03,369910
2004M04,366010
2004M05,299706
2004M06,301371
2004M07,355348
2004M08,340052
2004M09,330947
2004M10,331057
2004M11,353804
2004M12,391819
2005M01,426345
2005M02,346862
2005M03,403078
2005M04,384438
2005M05,309324
2005M06,311589
2005M07,391089
2005M08,342704
2005M09,348303
2005M10,332768
2005M11,344776
2005M12,404769
2006M01,423936
2006M02,342423
2006M03,398579
2006M04,392759
2006M05,313777
2006M06,323269
2006M07,353480
2006M08,339379
2006M09,352947
2006M10,335634
2006M11,357741
2006M12,416931
2007M01,431089
2007M02,354218
2007M03,420233
2007M04,399690
2007M05,341104
2007M06,346909
2007M07,363157
2007M08,362613
2007M09,366147
2007M10,348879
2007M11,369351
2007M12,420756
2008M01,440778
2008M02,376366
2008M03,432047
2008M04,392795
2008M05,341201
2008M06,329111
2008M07,376611
2008M08,361907
2008M09,337366
2008M10,348827
2008M11,360736
2008M12,408764
2009M01,431076
2009M02,346929
2009M03,404422
2009M04,392743
2009M05,333750
2009M06,312177
2009M07,373080
2009M08,358221
2009M09,352454
2009M10,357608
2009M11,361330
2009M12,413163
2010M01,456852
2010M02,370086
2010M03,423769
2010M04,400291
2010M05,342275
2010M06,338421
2010M07,393254
2010M08,372345
2010M09,368116
2010M10,366551
2010M11,372115
2010M12,434611
2011M01,478188
2011M02,374251
2011M03,417753
2011M04,408291
2011M05,363409
2011M06,325773
2011M07,412999
2011M08,379261
2011M09,351847
2011M10,432075
2011M11,391204
2011M12,459506
2012M01,502589
2012M02,385671
2012M03,430870
2012M04,427126
2012M05,349999
2012M06,366318
2012M07,393021
2012M08,388393
2012M09,371123
2012M10,383647
2012M11,384838
2012M12,457299
2013M01,488346
2013M02,390004
2013M03,453822
2013M04,446600
2013M05,366744
2013M06,353078
2013M07,433104
2013M08,412634
2013M09,389237
2013M10,392479
2013M11,400376
2013M12,483058
2014M01,513729
2014M02,429085
2014M03,460469
2014M04,459849
2014M05,395090
2014M06,369894
2014M07,434441
2014M08,423158
2014M09,396080
2014M10,415434
2014M11,432558
2014M12,507668
2015M01,543711
2015M02,451931
2015M03,523147
2015M04,491645
2015M05,425324
2015M06,399315
2015M07,468437
2015M08,448620
2015M09,431487
2015M10,446225
2015M11,462003
2015M12,557852
2016M01,596394
2016M02,506580
2016M03,553354
2016M04,541407
2016M05,452214
2016M06,430838
2016M07,526415
2016M08,480927
2016M09,479187
2016M10,492492
2016M11,509664
2016M12,628534
2017M01,649716
2017M02,538878
2017M03,593024
2017M04,597031
2017M05,494428
2017M06,466714
2017M07,574486
2017M08,507743
2017M09,495319
2017M10,535012
2017M11,547261
2017M12,665041
2018M01,669707
2018M02,566629
2018M03,637209
2018M04,611557
2018M05,512948
2018M06,498576
2018M07,582549
2018M08,546364
2018M09,517143
2018M10,549600
2018M11,574491
2018M12,684081
2019M01,703095
2019M02,572943
