time,direction,mig_status,count
Jan-2001,Arrivals,long_term,9351
Feb-2001,Arrivals,long_term,9387
Mar-2001,Arrivals,long_term,7113
Apr-2001,Arrivals,long_term,6993
May-2001,Arrivals,long_term,6258
Jun-2001,Arrivals,long_term,7347
Jul-2001,Arrivals,long_term,9432
Aug-2001,Arrivals,long_term,8325
Sep-2001,Arrivals,long_term,9864
Oct-2001,Arrivals,long_term,9870
Nov-2001,Arrivals,long_term,10830
Dec-2001,Arrivals,long_term,11607
Jan-2002,Arrivals,long_term,13125
Feb-2002,Arrivals,long_term,11109
Mar-2002,Arrivals,long_term,10158
Apr-2002,Arrivals,long_term,8925
May-2002,Arrivals,long_term,7971
Jun-2002,Arrivals,long_term,9114
Jul-2002,Arrivals,long_term,10701
Aug-2002,Arrivals,long_term,10095
Sep-2002,Arrivals,long_term,10836
Oct-2002,Arrivals,long_term,10461
Nov-2002,Arrivals,long_term,11370
Dec-2002,Arrivals,long_term,12177
Jan-2003,Arrivals,long_term,13308
Feb-2003,Arrivals,long_term,11232
Mar-2003,Arrivals,long_term,9354
Apr-2003,Arrivals,long_term,7986
May-2003,Arrivals,long_term,7089
Jun-2003,Arrivals,long_term,7767
Jul-2003,Arrivals,long_term,9411
Aug-2003,Arrivals,long_term,8271
Sep-2003,Arrivals,long_term,8820
Oct-2003,Arrivals,long_term,8694
Nov-2003,Arrivals,long_term,9066
Dec-2003,Arrivals,long_term,10956
Jan-2004,Arrivals,long_term,10776
Feb-2004,Arrivals,long_term,9123
Mar-2004,Arrivals,long_term,6789
Apr-2004,Arrivals,long_term,6174
May-2004,Arrivals,long_term,6078
Jun-2004,Arrivals,long_term,6498
Jul-2004,Arrivals,long_term,7959
Aug-2004,Arrivals,long_term,6957
Sep-2004,Arrivals,long_term,7938
Oct-2004,Arrivals,long_term,7554
Nov-2004,Arrivals,long_term,8184
Dec-2004,Arrivals,long_term,10608
Jan-2005,Arrivals,long_term,10068
Feb-2005,Arrivals,long_term,8646
Mar-2005,Arrivals,long_term,6852
Apr-2005,Arrivals,long_term,6900
May-2005,Arrivals,long_term,6372
Jun-2005,Arrivals,long_term,6735
Jul-2005,Arrivals,long_term,7680
Aug-2005,Arrivals,long_term,7473
Sep-2005,Arrivals,long_term,8289
Oct-2005,Arrivals,long_term,8061
Nov-2005,Arrivals,long_term,8193
Dec-2005,Arrivals,long_term,10986
Jan-2006,Arrivals,long_term,10134
Feb-2006,Arrivals,long_term,9414
Mar-2006,Arrivals,long_term,7548
Apr-2006,Arrivals,long_term,6960
May-2006,Arrivals,long_term,6357
Jun-2006,Arrivals,long_term,7284
Jul-2006,Arrivals,long_term,8775
Aug-2006,Arrivals,long_term,8148
Sep-2006,Arrivals,long_term,9210
Oct-2006,Arrivals,long_term,8760
Nov-2006,Arrivals,long_term,9630
Dec-2006,Arrivals,long_term,11550
Jan-2007,Arrivals,long_term,10896
Feb-2007,Arrivals,long_term,10098
Mar-2007,Arrivals,long_term,8448
Apr-2007,Arrivals,long_term,7311
May-2007,Arrivals,long_term,6804
Jun-2007,Arrivals,long_term,7740
Jul-2007,Arrivals,long_term,8511
Aug-2007,Arrivals,long_term,8964
Sep-2007,Arrivals,long_term,9318
Oct-2007,Arrivals,long_term,8715
Nov-2007,Arrivals,long_term,9642
Dec-2007,Arrivals,long_term,11199
Jan-2008,Arrivals,long_term,10557
Feb-2008,Arrivals,long_term,11454
Mar-2008,Arrivals,long_term,8595
Apr-2008,Arrivals,long_term,7920
May-2008,Arrivals,long_term,8082
Jun-2008,Arrivals,long_term,8358
Jul-2008,Arrivals,long_term,9867
Aug-2008,Arrivals,long_term,9339
Sep-2008,Arrivals,long_term,9261
Oct-2008,Arrivals,long_term,9315
Nov-2008,Arrivals,long_term,9528
Dec-2008,Arrivals,long_term,11343
Jan-2009,Arrivals,long_term,10941
Feb-2009,Arrivals,long_term,10938
Mar-2009,Arrivals,long_term,8082
Apr-2009,Arrivals,long_term,6975
May-2009,Arrivals,long_term,6813
Jun-2009,Arrivals,long_term,7002
Jul-2009,Arrivals,long_term,8877
Aug-2009,Arrivals,long_term,7839
Sep-2009,Arrivals,long_term,8310
Oct-2009,Arrivals,long_term,7974
Nov-2009,Arrivals,long_term,8163
Dec-2009,Arrivals,long_term,10032
Jan-2010,Arrivals,long_term,9618
Feb-2010,Arrivals,long_term,9207
Mar-2010,Arrivals,long_term,7095
Apr-2010,Arrivals,long_term,6195
May-2010,Arrivals,long_term,5907
Jun-2010,Arrivals,long_term,6348
Jul-2010,Arrivals,long_term,8430
Aug-2010,Arrivals,long_term,7881
Sep-2010,Arrivals,long_term,8148
Oct-2010,Arrivals,long_term,8103
Nov-2010,Arrivals,long_term,7860
Dec-2010,Arrivals,long_term,9708
Jan-2011,Arrivals,long_term,9279
Feb-2011,Arrivals,long_term,9570
Mar-2011,Arrivals,long_term,7236
Apr-2011,Arrivals,long_term,6363
May-2011,Arrivals,long_term,6006
Jun-2011,Arrivals,long_term,6243
Jul-2011,Arrivals,long_term,8604
Aug-2011,Arrivals,long_term,7857
Sep-2011,Arrivals,long_term,7785
Oct-2011,Arrivals,long_term,7431
